현토,시제,건수,비율
이어늘,과거,331,51.96232339089482
이어늘,미래/추측,63,9.89010989010989
이어늘,의문,47,7.378335949764521
이어늘,현재,196,30.76923076923077
하고,과거,700,56.95687550854353
하고,현재,399,32.465419039869815
하고,미래/추측,88,7.160292921074044
하고,의문,42,3.4174125305126117
러라,과거,311,64.38923395445134
러라,현재,118,24.43064182194617
러라,미래/추측,40,8.281573498964804
러라,의문,14,2.898550724637681
호리라,과거,35,33.33333333333333
호리라,현재,27,25.71428571428571
호리라,미래/추측,40,38.095238095238095
호리라,의문,3,2.857142857142857
가,현재,89,24.72222222222222
가,의문,110,30.555555555555557
가,과거,74,20.555555555555554
가,미래/추측,87,24.166666666666668
라하야늘,과거,44,47.82608695652174
라하야늘,현재,43,46.73913043478261
라하야늘,미래/추측,5,5.434782608695652
오,과거,395,22.54566210045662
오,현재,541,30.878995433789953
오,미래/추측,343,19.577625570776256
오,의문,473,26.99771689497717
어든,현재,22,32.83582089552239
어든,미래/추측,16,23.88059701492537
어든,의문,12,17.91044776119403
어든,과거,17,25.37313432835821
어늘,과거,378,43.69942196531792
어늘,현재,297,34.335260115606935
어늘,의문,72,8.323699421965317
어늘,미래/추측,118,13.641618497109825
나,과거,82,29.602888086642597
나,현재,127,45.84837545126354
나,미래/추측,50,18.050541516245488
나,의문,18,6.4981949458483745
하노라,과거,149,34.5707656612529
하노라,현재,197,45.707656612529
하노라,의문,29,6.728538283062645
하노라,미래/추측,56,12.993039443155451
며,미래/추측,19,19.387755102040817
며,의문,12,12.244897959183673
며,현재,47,47.95918367346938
며,과거,20,20.408163265306122
한대,과거,373,56.6869300911854
한대,현재,184,27.96352583586626
한대,미래/추측,63,9.574468085106384
한대,의문,38,5.775075987841945
이라하고,과거,90,46.391752577319586
이라하고,미래/추측,28,14.432989690721648
이라하고,현재,72,37.11340206185567
이라하고,의문,4,2.0618556701030926
라하고,과거,174,42.857142857142854
라하고,현재,172,42.364532019704434
라하고,미래/추측,55,13.546798029556651
라하고,의문,5,1.2315270935960592
하되,과거,27,50.943396226415096
하되,현재,20,37.735849056603776
하되,미래/추측,5,9.433962264150944
하되,의문,1,1.8867924528301887
일새,현재,43,43.43434343434344
일새,과거,43,43.43434343434344
일새,미래/추측,11,11.11111111111111
일새,의문,2,2.0202020202020203
하야,과거,239,47.32673267326732
하야,현재,197,39.00990099009901
하야,미래/추측,43,8.514851485148515
하야,의문,26,5.148514851485149
로되,과거,81,35.84070796460177
로되,현재,92,40.707964601769916
로되,미래/추측,37,16.371681415929203
로되,의문,16,7.079646017699115
라하다,과거,188,47.0
라하다,현재,150,37.5
라하다,미래/추측,48,12.0
라하다,의문,14,3.5000000000000004
면,과거,16,24.242424242424242
면,현재,30,45.45454545454545
면,미래/추측,17,25.757575757575758
면,의문,3,4.545454545454546
이로되,과거,31,44.927536231884055
이로되,현재,27,39.130434782608695
이로되,미래/추측,6,8.695652173913043
이로되,의문,5,7.246376811594203
이라하야늘,과거,22,44.0
이라하야늘,현재,20,40.0
