x,y,boundary_type,cluster_id,z
12.872175,-7.533878,Sentence,2,9.132717
12.869693,-7.444043,Sentence,2,10.162625
10.612998,-4.995636,Sentence,0,9.410336
12.823781,-8.372236,Sentence,1,9.429533
12.136214,-8.35496,Sentence,1,8.730689
12.344391,-8.176502,Sentence,1,10.235135
11.720267,-5.699753,Sentence,0,8.858496
11.897028,-7.6084447,Sentence,1,9.512654
12.098554,-6.17305,Sentence,0,7.991407
11.393778,-7.3142557,Sentence,1,9.060094
15.5061455,-1.669884,Sentence,0,10.260712
12.4822,-8.7201,Sentence,1,9.173352
10.15647,-8.416285,Sentence,0,9.416588
12.115447,-6.273885,Sentence,2,10.739955
11.975704,-6.664114,Sentence,2,10.287541
10.903044,-6.903075,Sentence,2,9.452711
11.575418,-6.674333,Sentence,0,9.7884865
12.270697,-8.23179,Sentence,1,7.8012886
10.677394,-4.703351,Sentence,0,6.652398
11.816676,-5.2551713,Sentence,2,11.133491
12.712331,-8.158945,Sentence,1,9.1654215
13.549797,-8.373032,Sentence,2,9.092191
12.436923,-7.091096,Sentence,0,8.100084
10.740893,-6.743931,Sentence,0,7.627187
10.774501,-7.4966245,Sentence,0,8.286271
12.556702,-8.844597,Sentence,1,8.649845
11.429502,-8.307944,Sentence,1,8.046573
11.923617,-7.098849,Sentence,2,10.485741
12.588887,-7.4949164,Sentence,1,8.902294
11.898353,-8.37028,Sentence,1,8.845802
11.178696,-6.5842977,Sentence,1,9.046453
9.961771,-8.627121,Sentence,0,9.315706
12.327352,-7.1294136,Sentence,2,10.441229
12.385891,-8.039433,Sentence,1,8.168333
12.48843,-7.137411,Sentence,2,10.472258
11.899065,-7.2838397,Sentence,0,8.195184
10.088565,-8.607196,Sentence,1,9.284761
12.998019,-5.5464373,Sentence,0,8.549675
10.742753,-7.5689144,Sentence,0,7.4799123
12.074742,-8.320967,Sentence,2,9.919658
12.351076,-8.097568,Sentence,1,8.401197
11.329874,-6.0662136,Sentence,2,10.449909
11.882041,-8.354762,Sentence,1,8.684255
9.893505,6.52531,Sentence,0,6.8829536
10.993012,-8.380811,Sentence,1,8.881338
12.923927,-6.9330797,Sentence,2,10.362332
11.731941,-8.728899,Sentence,1,8.779953
11.291708,-6.3727055,Sentence,2,9.039457
11.407108,-5.387864,Sentence,0,8.208438
11.31708,-7.000063,Sentence,2,8.910102
9.592549,-7.575518,Sentence,0,7.1704826
11.926081,-6.0907617,Sentence,2,9.538236
10.713377,-8.340638,Sentence,1,9.135595
11.239551,-4.4778085,Sentence,0,11.028705
11.444787,-7.433385,Sentence,1,9.268474
11.21284,-7.407017,Sentence,1,7.372054
14.56899,-3.5141773,Sentence,0,8.327255
11.050731,-6.129484,Sentence,2,9.93775
11.549612,-8.3586855,Sentence,1,9.446215
9.888968,-8.252222,Sentence,1,8.440342
11.715801,-6.328799,Sentence,2,10.276141
12.154825,-8.203979,Sentence,1,10.154942
11.051282,-5.5886707,Sentence,0,7.9737144
12.125315,-6.490631,Sentence,2,10.809543
12.513128,-6.796537,Sentence,2,10.662548
11.248021,-7.1662636,Sentence,1,9.010562
12.5323715,-6.6341066,Sentence,2,9.765642
11.322922,-5.7672276,Sentence,0,7.186797
11.8740425,-8.821187,Sentence,1,9.099602
12.312263,-7.754401,Sentence,1,10.261501
11.551802,-8.139296,Sentence,1,9.891642
11.980303,-4.986593,Sentence,0,7.7718964
11.910721,-6.7529364,Sentence,2,9.925654
12.560543,-6.884702,Sentence,2,10.703427
12.285824,-5.706162,Sentence,0,7.9072685
12.883442,-4.8848057,Sentence,2,8.055668
12.380585,-5.0535955,Sentence,2,10.374139
10.434297,-5.339184,Sentence,0,7.9143896
12.485295,-8.231061,Sentence,1,9.888533
11.621486,-4.3324733,Sentence,0,10.421895
13.481059,-8.366739,Sentence,2,9.087193
11.891799,-7.0634274,Sentence,0,7.66113
12.877353,-7.230435,Sentence,2,9.1940565
11.977502,-8.427477,Sentence,1,9.532343
11.056406,-8.815077,Sentence,1,8.990444
11.852543,-6.4584107,Sentence,0,7.739783
12.354902,-8.111451,Sentence,1,9.799425
11.964253,-5.619123,Sentence,2,9.811773
12.14766,-7.083785,Sentence,0,7.6322393
10.804925,-8.676427,Sentence,0,8.728276
13.2748375,-6.6674027,Sentence,2,9.895341
10.1742325,-8.743504,Sentence,1,8.935704
12.55228,-6.2554474,Sentence,0,7.2048926
13.06556,-7.305955,Sentence,2,9.551079
12.638287,-6.715193,Sentence,2,9.752652
9.848095,-8.200534,Sentence,1,8.372979
11.660778,-7.9078646,Sentence,1,9.496147
11.53008,-8.279573,Sentence,1,8.939543
