x,y,boundary_type,cluster_id
8.972985,-1.8406225,Sentence,0
7.082528,-4.354587,Sentence,1
9.116372,-5.4759593,Sentence,2
6.2358584,-3.534197,Sentence,0
8.49871,-4.981309,Sentence,2
6.674011,-2.4835396,Sentence,2
6.9206314,-1.9325991,Sentence,0
6.799342,8.02425,Sentence,0
8.847039,-3.059524,Sentence,1
7.5977793,-3.5049975,Sentence,1
8.208511,-3.7936244,Sentence,1
6.1520505,-3.3137636,Sentence,0
6.4714737,-3.8234124,Sentence,2
9.847417,-2.9032466,Sentence,1
8.938853,-4.1146455,Sentence,2
7.822759,-1.6072197,Sentence,0
7.140655,0.67852706,Sentence,0
8.490993,-3.5622904,Sentence,1
10.459403,-4.551775,Sentence,2
2.3808117,-0.5588807,Sentence,0
9.739355,-2.6776063,Sentence,1
8.1731615,-5.260669,Sentence,2
10.34258,-2.0600517,Sentence,0
7.9270372,-4.6672907,Sentence,1
6.5370154,-0.97171617,Sentence,0
7.9272356,-5.508448,Sentence,2
6.5979886,-3.5711358,Sentence,0
6.5558715,-3.7298186,Sentence,1
7.874862,-3.9236114,Sentence,1
9.749906,-4.3214154,Sentence,2
10.381243,-4.83532,Sentence,2
8.924324,-2.6703413,Sentence,2
6.070954,-0.3410829,Sentence,0
9.344734,-2.3386698,Sentence,1
7.0206466,-3.5094109,Sentence,1
7.7903013,-4.300375,Sentence,1
10.436168,-4.4023337,Sentence,2
10.018543,-2.1283026,Sentence,1
6.246774,-0.9535397,Sentence,0
11.264411,-4.993741,Sentence,2
8.791659,-1.7964925,Sentence,0
7.5568447,-5.060597,Sentence,1
7.8066545,-3.337812,Sentence,1
8.439683,-4.5146747,Sentence,1
8.234198,-3.0262003,Sentence,2
7.8296943,-5.4616575,Sentence,2
9.205666,-3.511542,Sentence,1
7.5140224,-4.672205,Sentence,2
8.111108,-5.154305,Sentence,2
10.714261,-3.2323341,Sentence,0
6.7940135,-4.777649,Sentence,1
7.047038,-3.8260972,Sentence,1
8.305153,-4.760494,Sentence,1
7.7230835,-1.5113871,Sentence,0
8.693493,-3.7277272,Sentence,1
7.5847964,-1.6414499,Sentence,0
8.411113,-2.982438,Sentence,1
2.2132814,-5.15711,Sentence,0
7.2836266,-4.3505654,Sentence,1
10.004435,-1.8924003,Sentence,0
9.613459,-4.8452754,Sentence,2
9.205447,-4.404793,Sentence,2
8.891881,-2.5740895,Sentence,2
9.054955,-3.5846615,Sentence,0
6.144744,-3.52765,Sentence,1
7.0588813,1.0658411,Sentence,0
10.88411,-5.125248,Sentence,2
7.1350956,-4.607063,Sentence,1
6.2229795,-5.0338564,Sentence,2
6.93726,-2.6125185,Sentence,0
8.061176,-0.18626416,Sentence,0
8.895287,-2.0958405,Sentence,0
6.582011,-4.4810257,Sentence,1
7.379346,-2.9845629,Sentence,1
9.074102,-4.681364,Sentence,2
7.0897193,-4.105629,Sentence,1
7.355407,-3.7591531,Sentence,1
7.982978,-2.3687966,Sentence,1
10.386711,-1.7706624,Sentence,0
8.873079,-4.9904027,Sentence,2
6.638476,-3.4043205,Sentence,1
8.836017,-4.996674,Sentence,2
7.1198797,-2.7745483,Sentence,0
10.310336,-2.029962,Sentence,1
6.0219884,-1.2006906,Sentence,0
9.2970495,-0.82348794,Sentence,0
8.144524,-4.542298,Sentence,2
6.885015,-3.523288,Sentence,1
10.073661,-3.9783647,Sentence,2
7.3872614,-3.7972395,Sentence,1
6.8026175,8.021485,Sentence,0
9.496735,-2.1810043,Sentence,1
8.724491,-5.4986596,Sentence,2
7.6267433,-3.6542664,Sentence,1
8.142295,-2.2177935,Sentence,2
6.4162393,-1.0892713,Sentence,0
8.862935,-2.3235128,Sentence,2
10.122086,0.1961408,Sentence,0
8.345325,-2.4979255,Sentence,2
9.623364,-1.9359953,Sentence,1
11.5571785,-4.9549284,Sentence,0
8.4717245,-3.2186463,Sentence,1
7.1758585,-2.6725569,Sentence,1
3.118737,-1.2729672,Sentence,0
9.60735,-3.1835241,Sentence,2
8.00808,-3.8758268,Sentence,1
10.530831,-1.1496805,Sentence,1
