x,y,boundary_type,cluster_id,z
12.040873,15.787369,Sentence,2,10.042159
11.724741,16.644325,Sentence,0,9.938677
12.119981,15.324898,Sentence,0,8.937613
14.7509985,14.094637,Sentence,3,10.605109
12.22029,17.052526,Sentence,2,10.50415
12.830267,17.087114,Sentence,2,10.835276
12.460449,15.845616,Sentence,0,8.730194
12.437619,16.205698,Sentence,2,9.844295
12.809613,16.489166,Sentence,2,9.439084
12.315865,16.066477,Sentence,2,11.595152
14.517887,14.210034,Sentence,3,10.801355
12.777847,16.473017,Sentence,2,10.84505
12.52462,14.291529,Sentence,0,8.569753
12.891158,14.993065,Sentence,0,9.87711
12.905399,13.922495,Sentence,1,8.884324
12.203148,15.032915,Sentence,0,8.335222
14.635292,14.982937,Sentence,3,10.74222
12.349922,15.966638,Sentence,0,9.463799
14.240331,13.486639,Sentence,3,10.844134
12.457921,15.372501,Sentence,3,10.98564
15.3239765,14.11836,Sentence,1,9.785547
12.240734,14.781363,Sentence,0,8.323304
12.093839,12.531878,Sentence,1,8.528987
14.846785,13.615789,Sentence,1,9.102738
12.040239,15.800315,Sentence,0,8.779921
11.844375,14.620231,Sentence,0,8.832313
13.997005,15.493916,Sentence,2,9.934667
12.269308,16.282743,Sentence,0,8.92586
11.974222,16.604536,Sentence,2,11.46797
14.086991,14.567543,Sentence,2,10.756467
12.453952,16.289467,Sentence,2,8.936256
13.328174,16.18703,Sentence,1,9.707751
12.338356,12.132452,Sentence,1,9.5843525
12.966165,16.909618,Sentence,2,10.396624
13.526421,16.080854,Sentence,2,10.012879
13.804126,16.353523,Sentence,2,9.093967
14.517458,12.788227,Sentence,3,9.007063
13.718279,16.09993,Sentence,2,9.776232
12.525846,16.389608,Sentence,2,9.024463
11.893147,16.58127,Sentence,0,9.490292
12.226442,14.767656,Sentence,0,8.895612
14.034684,16.49095,Sentence,2,9.411575
13.324136,14.921872,Sentence,2,9.951879
13.304647,15.456175,Sentence,1,8.782818
12.845798,15.310498,Sentence,0,8.686394
13.385426,16.764193,Sentence,2,10.961178
13.667164,15.587177,Sentence,2,9.704319
14.720288,13.660154,Sentence,3,10.745372
11.379012,12.772569,Sentence,1,9.401751
13.585209,15.049371,Sentence,0,8.830804
13.5959215,12.698308,Sentence,1,8.053607
12.458256,15.021248,Sentence,0,8.420093
14.678106,15.518243,Sentence,1,10.681244
14.287865,14.076681,Sentence,0,8.706285
13.132143,15.436907,Sentence,0,8.560316
12.168362,16.801363,Sentence,2,10.549028
14.11064,13.882293,Sentence,1,11.461155
12.530742,17.071684,Sentence,2,11.349595
12.895944,14.97621,Sentence,0,8.546096
12.232033,16.268852,Sentence,0,9.261189
13.143444,16.805727,Sentence,2,10.341922
13.873335,15.639285,Sentence,0,9.153714
14.189075,15.78522,Sentence,2,8.863032
14.271077,12.2746,Sentence,1,9.45117
12.963186,15.733748,Sentence,0,8.947768
13.585006,12.5994,Sentence,1,7.9851046
13.543838,16.794205,Sentence,2,9.459442
13.658723,13.863469,Sentence,3,10.742042
12.813816,14.502156,Sentence,0,8.646223
12.2809725,16.634287,Sentence,2,9.565954
12.086917,14.017559,Sentence,1,10.420417
13.559216,15.899003,Sentence,2,9.636808
15.122318,14.038355,Sentence,3,10.157946
11.9156275,15.360761,Sentence,0,9.662625
13.580304,16.18251,Sentence,2,9.739249
15.252594,14.35013,Sentence,1,9.670715
11.595367,13.810262,Sentence,0,8.511577
12.551206,15.9086895,Sentence,0,8.734471
14.01577,13.803938,Sentence,1,9.276737
13.591497,17.081009,Sentence,2,10.325576
12.880407,14.348747,Sentence,0,8.788591
12.160304,15.987221,Sentence,0,9.312165
13.471657,16.196857,Sentence,1,10.6416855
12.748846,17.143177,Sentence,2,11.028344
13.28178,14.35139,Sentence,1,11.108227
12.657693,16.547537,Sentence,2,10.065297
12.180758,15.164261,Sentence,0,8.134725
13.447569,16.221872,Sentence,2,8.856215
12.412923,15.925372,Sentence,0,8.90874
11.896638,16.89879,Sentence,2,10.745353
12.319861,16.537468,Sentence,2,11.114919
12.42103,15.4171915,Sentence,2,10.924005
13.564247,13.930553,Sentence,1,11.062471
13.856366,16.286314,Sentence,2,9.388723
13.09913,16.352123,Sentence,2,9.834617
14.179277,14.473809,Sentence,0,9.851477
12.695662,16.115807,Sentence,2,9.803847
13.608614,16.914703,Sentence,2,10.238349
12.387569,16.346912,Sentence,2,9.356012
11.558813,16.845516,Sentence,2,11.036691
14.217291,14.070608,Sentence,3,11.712807
12.012361,16.471386,Sentence,0,10.633007
12.321261,16.959831,Sentence,2,10.882343
12.032457,11.566793,Sentence,3,9.414133
12.362319,15.1175375,Sentence,0,8.555662
12.46966,16.01224,Sentence,2,9.38676
12.647713,13.826236,Sentence,1,10.451537
14.309882,14.595605,Sentence,3,10.109974
13.23647,13.628778,Sentence,1,8.841924
11.7427635,13.470471,Sentence,1,8.64329
13.59117,16.029707,Sentence,2,10.088525
14.976945,13.960367,Sentence,3,11.201105
15.122236,14.190441,Sentence,1,9.92604
12.603239,15.486869,Sentence,2,11.773907
14.931781,14.207875,Sentence,3,10.289652
12.135125,16.374388,Sentence,3,11.367281
12.58503,16.25342,Sentence,0,8.963659
12.029419,16.400953,Sentence,0,9.530116
13.587348,16.443304,Sentence,2,10.05285
14.385671,16.00564,Sentence,0,8.68478
14.777093,13.88001,Sentence,3,11.020416
13.28157,16.814167,Sentence,2,9.7330675
14.531055,15.953635,Sentence,0,8.636348
13.7788315,15.863196,Sentence,1,10.371218
11.935778,17.035648,Sentence,2,10.749359
14.434282,13.914341,Sentence,3,11.195517
13.244712,16.628073,Sentence,2,9.463208
11.892934,13.123829,Sentence,0,8.740012
13.542387,13.048684,Sentence,1,7.4437747
15.203576,13.994511,Sentence,1,9.9727955
13.441185,16.66642,Sentence,2,9.590881
14.109232,15.119745,Sentence,1,10.950819
12.264015,16.357613,Sentence,2,10.3055105
11.788778,13.407546,Sentence,0,8.504497
15.165576,13.782018,Sentence,3,10.0730715
11.743005,16.233063,Sentence,2,10.474885
12.988462,16.018618,Sentence,2,11.331964
12.001019,14.620985,Sentence,0,8.538451
12.217382,15.5843935,Sentence,0,8.75363
11.381755,14.98814,Sentence,2,10.380955
11.769729,15.165392,Sentence,0,10.621056
13.344845,14.364179,Sentence,1,11.141797
12.462371,16.270382,Sentence,0,9.152996
12.046866,16.289509,Sentence,2,10.321627
11.728679,17.105091,Sentence,0,10.779186
13.314242,14.575976,Sentence,0,9.818713
11.954069,14.691762,Sentence,0,8.358061
14.033145,14.074529,Sentence,1,9.141429
12.851881,9.879548,Sentence,3,13.560931
12.411464,15.584311,Sentence,0,8.918564
13.026545,15.828404,Sentence,0,8.68082
13.171786,16.758514,Sentence,2,10.098649
12.803984,17.284502,Sentence,2,10.656732
12.802526,15.842293,Sentence,0,9.594535
14.602901,15.964683,Sentence,1,8.632701
12.303107,16.301344,Sentence,2,8.952283
12.738811,15.592376,Sentence,2,10.5706835
13.9234085,14.504536,Sentence,3,11.32843
12.718453,16.701424,Sentence,2,9.447849
14.613661,15.971964,Sentence,0,8.625312
13.320809,15.231995,Sentence,2,10.156396
14.739806,14.347661,Sentence,3,10.649698
14.291976,14.468234,Sentence,1,8.638964
12.196864,16.442966,Sentence,3,11.999865
12.914773,15.3078575,Sentence,0,8.515993
12.7125025,9.818338,Sentence,1,1.5933117
12.666127,13.006262,Sentence,1,8.902716
14.983345,14.360679,Sentence,2,10.032897
12.181283,15.567384,Sentence,0,8.601623
13.751145,14.425238,Sentence,2,10.990083
11.772961,13.803734,Sentence,1,8.834425
11.967968,16.413065,Sentence,0,9.775051
11.997731,12.883965,Sentence,1,8.598117
14.132061,16.414616,Sentence,2,9.783317
11.934567,12.012958,Sentence,1,9.117832
12.077622,14.213816,Sentence,2,10.995709
14.124971,14.586709,Sentence,1,11.1095915
13.133599,16.150127,Sentence,2,10.744732
14.065468,15.0811,Sentence,2,10.786775
15.144664,13.748801,Sentence,3,11.413206
12.847197,16.458258,Sentence,2,8.868574
13.526528,15.994963,Sentence,2,9.702592
14.523946,15.962575,Sentence,2,8.707875
12.6367855,15.668273,Sentence,0,9.489245
14.885758,13.419305,Sentence,1,9.650923
12.493105,16.82147,Sentence,3,11.449821
12.229515,16.945272,Sentence,2,10.411329
14.08768,15.007839,Sentence,1,9.455401
14.357733,14.014926,Sentence,1,10.535104
14.131823,13.907131,Sentence,3,10.034242
12.09424,13.252221,Sentence,1,9.296955
14.209114,14.789326,Sentence,1,9.903662
12.119902,16.580809,Sentence,2,9.361822
14.470881,14.524634,Sentence,3,10.083469
11.91107,16.19689,Sentence,2,10.681597
12.990026,13.758596,Sentence,0,8.792781
14.139774,13.549893,Sentence,3,11.467451
13.732136,12.234168,Sentence,1,7.312695
14.067119,12.875721,Sentence,1,9.1790695
12.956994,16.841013,Sentence,2,9.628331
14.477383,16.23197,Sentence,1,9.781586
14.725301,11.440837,Sentence,1,6.9947767
11.980157,16.523596,Sentence,2,10.543487
13.573352,14.44822,Sentence,2,11.105025
12.513945,16.448286,Sentence,2,9.1962595
11.8396635,14.607628,Sentence,0,8.333478
14.325615,15.855814,Sentence,0,8.79318
13.2752075,16.90044,Sentence,2,10.201894
13.553086,14.939381,Sentence,2,10.43107
12.472178,15.306227,Sentence,0,9.403787
12.903223,16.716026,Sentence,2,10.251168
14.13381,13.509316,Sentence,1,9.530826
12.190864,13.256473,Sentence,1,8.791183
14.935881,13.486595,Sentence,3,10.831602
12.186069,17.059435,Sentence,1,11.226623
12.893884,15.466425,Sentence,1,10.126513
12.525707,16.021017,Sentence,0,8.751723
12.067957,15.224364,Sentence,0,8.546724
14.242528,14.993276,Sentence,1,9.758089
13.537276,16.363968,Sentence,2,9.572303
12.919484,16.5249,Sentence,2,10.015752
12.315727,16.723364,Sentence,2,11.009988
13.992517,15.672975,Sentence,2,10.445224
14.52485,16.07959,Sentence,1,9.8821745
13.230574,14.90806,Sentence,0,8.792358
12.811795,16.093176,Sentence,2,10.179602
12.2276125,11.58591,Sentence,3,9.521131
14.077196,13.2370615,Sentence,1,9.528724
14.229407,16.624405,Sentence,2,9.515735
13.864016,15.189348,Sentence,1,9.835291
13.937045,16.485405,Sentence,2,9.605553
12.02389,16.358019,Sentence,0,10.04212
