marker,count,doc_freq,num_groups,top_groups,x,y,dominant,method,group_level,reweight_by_corpus
이라하다,197,196,51,p11_c10:22;p11_c4:18;p2_c13:18;p11_c8:11;p11_c5:10,0.61761373,-0.11102064,p11_c10,pca,parent_child,none
라한대,196,196,61,p11_c10:15;p11_c2:14;p2_c13:13;p11_c8:12;p11_c15:11,0.4594607,-0.029701462,p11_c10,pca,parent_child,none
라하니이다,194,192,56,p3_c3:16;p0_c5:14;p0_c2:12;p0_c4:9;p14_c8:8,0.08181225,0.42405254,p3_c3,pca,parent_child,none
에도,188,184,84,p3_c8:11;p14_c7:8;p13_c2:7;p3_c1:7;p3_c3:7,-0.2617193,-0.025475727,p3_c8,pca,parent_child,none
하시며,181,129,47,p3_c1:18;p3_c4:15;p3_c12:13;p9_c5:13;p3_c3:12,-0.026231134,0.26761666,p3_c1,pca,parent_child,none
호니,178,175,76,p11_c2:14;p3_c3:14;p3_c12:9;p14_c8:7;p3_c1:7,0.036203295,0.17446795,p11_c2,pca,parent_child,none
ᄂ저,176,170,69,p11_c15:15;p3_c12:13;p11_c11:6;p7_c15:6;p11_c8:5,0.19386339,-0.029092161,p11_c15,pca,parent_child,none
잇고,167,165,55,p6_c14:13;p5_c14:10;p11_c14:9;p12_c4:9;p0_c3:8,0.08045394,0.087047875,p6_c14,pca,parent_child,none
ㄴ저,165,162,80,p11_c8:8;p9_c1:6;p12_c10:5;p3_c4:5;p7_c15:5,0.11754502,-0.09065585,p11_c8,pca,parent_child,none
이리라,165,165,77,p9_c7:9;p11_c15:6;p7_c13:6;p8_c5:6;p9_c5:6,0.048311796,0.04292677,p9_c7,pca,parent_child,none
로대,159,150,79,p14_c8:8;p0_c10:7;p0_c13:6;p13_c7:5;p9_c1:5,-0.063076876,0.037981316,p14_c8,pca,parent_child,none
이온,154,154,72,p3_c12:9;p0_c3:7;p14_c8:6;p1_c3:5;p2_c2:5,-0.067299075,0.14452931,p3_c12,pca,parent_child,none
이리이다,148,146,41,p0_c4:23;p9_c2:16;p0_c8:9;p2_c1:9;p9_c5:8,-0.03697125,0.5626411,p0_c4,pca,parent_child,none
아하고,145,143,52,p11_c10:33;p11_c2:10;p11_c3:7;p11_c4:6;p5_c6:6,0.44286382,-0.00671232,p11_c10,pca,parent_child,none
온,144,143,58,p0_c3:11;p9_c7:10;p1_c3:7;p9_c8:7;p3_c8:6,-0.16670386,0.1054239,p0_c3,pca,parent_child,none
아하니,143,142,51,p11_c10:15;p11_c2:13;p11_c4:9;p11_c8:8;p3_c12:7,0.2798617,-0.17266755,p11_c10,pca,parent_child,none
라하야늘,142,139,58,p11_c10:20;p11_c4:11;p11_c7:11;p5_c6:10;p11_c2:6,0.44313475,-0.0149110705,p11_c10,pca,parent_child,none
이리니,141,141,53,p9_c7:11;p0_c7:10;p3_c12:10;p9_c8:10;p9_c2:7,-0.037520193,0.2734998,p9_c7,pca,parent_child,none
하시니이다,137,134,40,p0_c2:18;p3_c3:18;p9_c5:14;p14_c8:13;p14_c7:8,-0.066250995,0.61719555,p0_c2,pca,parent_child,none
오하니,130,130,47,p11_c10:13;p11_c2:11;p11_c4:11;p12_c10:6;p5_c6:6,0.38094667,-0.08774837,p11_c10,pca,parent_child,none
이라하시니,128,126,60,p3_c4:7;p3_c8:7;p3_c12:6;p13_c1:5;p1_c12:5,-0.15535732,-0.12018817,p3_c4,pca,parent_child,none
릿가,125,122,42,p0_c3:12;p11_c15:11;p11_c14:10;p3_c12:8;p9_c7:8,0.24740954,0.17959145,p0_c3,pca,parent_child,none
이리잇가,123,119,40,p0_c3:23;p9_c7:17;p9_c8:7;p0_c13:6;p1_c8:6,-0.08399944,0.41669133,p0_c3,pca,parent_child,none
호리라,122,118,61,p12_c4:9;p11_c11:8;p6_c1:7;p11_c4:5;p11_c8:4,0.31917176,-0.14246152,p12_c4,pca,parent_child,none
이여,120,118,36,p12_c11:34;p12_c4:20;p12_c10:8;p13_c2:4;p3_c7:4,0.13353157,-0.06393669,p12_c11,pca,parent_child,none
라하시니라,114,114,45,p8_c12:10;p13_c1:8;p2_c3:7;p2_c12:6;p13_c2:5,-0.11197099,-0.2898198,p8_c12,pca,parent_child,none
시니,111,111,58,p12_c4:5;p13_c1:5;p13_c2:5;p3_c3:5;p2_c3:4,-0.22879659,-0.14853117,p12_c4,pca,parent_child,none
어다,110,108,49,p12_c11:10;p12_c10:9;p12_c4:8;p2_c12:5;p5_c14:5,0.124108166,-0.13412118,p12_c11,pca,parent_child,none
이로소이다,106,101,38,p9_c5:10;p0_c2:9;p3_c3:9;p14_c7:6;p11_c14:5,-0.03570576,0.5942626,p9_c5,pca,parent_child,none
에는,105,93,55,p3_c9:6;p9_c1:5;p0_c3:4;p14_c8:4;p3_c8:4,-0.26980132,0.089133196,p3_c9,pca,parent_child,none
이라하니이다,105,105,40,p3_c3:12;p0_c2:10;p0_c4:7;p0_c5:7;p14_c7:4,0.18237385,0.45111588,p3_c3,pca,parent_child,none
이라한대,104,103,42,p2_c13:12;p11_c10:8;p11_c3:6;p11_c4:6;p11_c7:6,0.45671865,-0.01292239,p2_c13,pca,parent_child,none
하나,99,94,56,p2_c12:6;p3_c8:6;p3_c12:4;p9_c4:4;p12_c10:3,-0.14110383,-0.045892853,p2_c12,pca,parent_child,none
하야도,98,98,50,p14_c12:7;p3_c12:6;p3_c7:6;p9_c9:5;p11_c10:4,0.059196137,0.10092641,p14_c12,pca,parent_child,none
커늘,96,95,51,p11_c11:5;p14_c2:5;p5_c5:5;p14_c15:4;p2_c13:4,0.51739883,-0.1666289,p11_c11,pca,parent_child,none
이릿가,95,91,40,p9_c7:10;p0_c3:8;p11_c14:7;p11_c15:7;p3_c12:7,0.21844491,0.18636559,p9_c7,pca,parent_child,none
이어시늘,91,87,43,p2_c13:9;p3_c1:6;p3_c12:5;p3_c14:5;p3_c8:5,0.14635012,-0.09305124,p2_c13,pca,parent_child,none
