marker,count,doc_freq,num_groups,top_groups,x,y,dominant,method,group_level,reweight_by_corpus
라하노라,62,62,12,p8:15;p9:11;p13:10;p0:5;p11:5,-0.31426913,-0.1737272,p8,pca,parent,none
라하면,60,60,12,p9:17;p3:9;p11:7;p7:6;p0:5,-0.090317495,0.16738005,p9,pca,parent,none
호리이다,60,59,10,p0:22;p9:9;p11:8;p2:6;p5:5,0.07540708,0.3001997,p0,pca,parent,none
타가,59,57,7,p14:30;p11:10;p7:8;p5:6;p3:3,0.5883485,-0.10852398,p14,pca,parent,none
하라하고,59,59,12,p11:26;p3:7;p5:6;p9:6;p14:4,0.34651014,-0.01729497,p11,pca,parent,none
하시다,59,56,10,p5:15;p14:14;p3:8;p7:8;p2:5,0.39779332,0.013128519,p5,pca,parent,none
니잇고,58,56,12,p6:10;p12:8;p3:8;p5:8;p1:5,0.11187815,-0.17307965,p6,pca,parent,none
러시니,58,57,13,p14:11;p2:10;p3:7;p5:6;p11:5,0.15737602,-0.08934267,p14,pca,parent,none
아하니라,58,58,14,p11:15;p8:8;p2:7;p13:6;p9:5,-0.09334334,-0.2997011,p11,pca,parent,none
언정,58,56,12,p11:11;p9:11;p6:7;p1:6;p5:5,0.0047468655,-0.048307918,p11,pca,parent,none
라하시고,57,54,12,p11:18;p3:11;p9:8;p2:5;p5:3,0.19405082,-0.0082948,p11,pca,parent,none
으로도,57,55,13,p3:16;p9:11;p1:6;p14:4;p8:4,-0.1658501,0.07956585,p3,pca,parent,none
하실새,57,56,12,p5:9;p3:8;p11:7;p2:7;p7:7,0.09966552,-0.088485435,p5,pca,parent,none
이라하나이다,54,54,8,p0:17;p9:16;p2:7;p1:5;p11:4,-0.15239847,0.36974376,p0,pca,parent,none
이어니,52,52,11,p11:11;p5:10;p6:9;p9:7;p14:4,0.2716061,-0.058831125,p11,pca,parent,none
컨댄,52,52,9,p0:17;p9:12;p3:10;p14:4;p13:3,-0.23344696,0.36575946,p0,pca,parent,none
하시되,52,46,12,p9:13;p3:9;p13:7;p5:6;p2:5,-0.14987585,0.028973743,p9,pca,parent,none
로니,51,50,12,p3:8;p11:7;p0:5;p14:5;p5:5,0.069951974,0.009602442,p3,pca,parent,none
