,라,하고,하여,하니,에,이,는,하야,하다,은,이라,니,로,요,이요,이면,면,이니,니라,하며,가,어늘,한대,아,이나,이어늘,니이다,하니라,으로,러니,이러니,나,를,오,리오,하면,을,호되,로다,라하니,과,로되,이니이다,이니라,러라,할새,이라하니,와,리라,하시니
及,321,398,475,421,918,249,119,479,328,76,156,45,59,35,52,82,66,46,61,49,48,41,40,23,40,43,41,35,50,30,37,37,36,8,21,24,24,13,19,17,28,17,17,16,22,7,15,34,29,13
已,1096,342,219,416,153,36,115,181,42,36,130,412,63,311,46,38,102,47,317,20,19,107,10,80,43,36,203,27,14,48,19,54,12,70,39,13,13,8,50,55,4,45,10,9,65,0,9,6,25,18
諸,290,507,562,462,232,546,206,299,341,122,93,64,53,38,35,57,70,29,36,48,73,65,100,43,22,44,14,28,65,29,41,17,69,19,14,23,41,41,5,17,24,26,4,10,9,41,6,19,7,12
明,523,460,469,323,465,271,172,264,82,212,232,92,61,106,130,103,40,64,61,78,22,33,24,25,40,47,63,40,66,14,21,22,12,11,11,14,25,15,13,15,32,14,22,17,3,13,19,15,12,33
四,328,343,371,411,917,188,328,165,95,107,354,102,70,129,125,46,34,92,19,53,37,26,20,14,33,26,27,31,29,18,21,21,34,12,6,17,20,15,9,19,35,23,13,4,23,1,13,35,6,17
日,291,407,338,347,1101,120,117,266,342,135,204,61,87,65,75,81,58,71,33,58,21,29,19,21,33,58,37,42,25,17,36,18,20,10,13,25,19,25,12,7,21,14,27,21,8,10,14,11,26,10
若,268,347,352,202,98,137,255,203,21,163,126,62,33,60,50,741,709,47,61,71,36,21,9,43,44,13,28,28,40,15,14,40,19,109,30,136,12,3,3,14,30,23,18,17,7,1,20,26,8,8
當,622,260,603,222,215,109,111,346,31,44,241,208,31,151,136,78,86,193,127,26,26,78,3,49,38,39,60,10,21,24,26,56,17,21,27,22,7,9,5,30,5,42,28,30,6,7,29,18,30,8
士,312,525,441,313,174,212,363,435,175,66,115,77,149,112,35,24,51,27,36,60,217,43,54,44,18,29,36,43,44,62,34,30,43,5,19,18,14,23,23,18,17,30,11,5,26,15,5,34,4,14
五,306,313,359,359,815,172,309,176,164,142,349,101,76,138,128,51,32,106,20,32,32,13,19,11,25,25,25,29,88,15,18,21,35,3,4,17,19,17,3,6,36,16,7,6,23,10,12,43,2,8
侯,247,414,312,428,174,215,220,291,714,59,58,62,45,43,33,32,58,25,23,36,56,43,89,26,16,29,11,30,46,38,33,25,23,14,10,9,8,17,8,21,22,20,3,2,3,50,6,22,8,17
從,380,385,462,444,101,255,150,417,448,86,163,75,45,40,51,108,82,59,46,49,54,39,59,53,27,58,30,59,39,73,76,38,21,15,24,31,14,28,19,21,10,15,18,18,14,26,20,8,22,14
主,353,523,642,383,208,381,129,109,262,50,101,98,87,86,34,35,49,28,18,22,332,79,104,21,30,42,34,23,51,71,29,22,9,16,15,15,3,32,2,17,11,23,2,9,35,37,11,17,3,11
心,420,407,556,299,94,310,117,228,25,169,310,96,36,85,105,209,41,124,58,44,33,22,5,56,67,29,30,27,53,9,43,18,15,5,20,27,60,14,19,10,19,12,50,34,7,0,16,4,11,13
世,438,322,313,343,361,178,268,270,87,113,172,89,96,84,57,30,56,33,86,30,75,49,16,61,42,24,51,34,31,37,29,56,29,11,23,6,16,8,21,25,16,28,9,24,17,4,17,21,11,15
陽,230,494,563,462,188,419,108,150,387,188,170,93,61,61,83,49,28,51,10,24,56,25,67,10,37,85,8,36,137,19,66,13,11,1,2,23,14,14,1,6,29,8,2,2,1,43,23,17,2,4
正,502,361,333,334,652,148,128,117,52,148,267,178,60,96,110,151,54,117,54,53,20,22,19,28,57,30,23,24,81,9,14,19,17,6,14,18,21,7,8,7,14,13,11,17,2,4,15,13,17,15
我,388,182,330,353,117,111,242,147,58,59,113,131,46,90,44,79,122,63,54,30,32,55,12,130,25,33,20,22,22,25,11,51,32,69,60,43,10,17,101,52,7,19,4,15,2,6,30,7,25,14
安,314,467,447,285,126,323,102,173,205,103,195,82,35,57,80,73,27,52,47,37,33,38,54,139,23,56,46,19,41,15,49,11,15,27,178,18,13,11,3,10,21,8,31,13,18,8,14,12,8,10
成,422,387,328,366,248,274,110,144,214,119,247,84,26,73,98,94,33,82,59,50,17,29,33,29,46,61,36,42,37,15,23,22,20,3,14,27,14,12,13,19,15,7,31,25,10,19,20,8,20,13
生,343,452,321,414,222,290,137,225,117,165,208,107,36,80,82,58,41,74,31,53,46,29,29,29,22,37,25,35,53,23,28,23,30,9,14,31,24,9,8,15,19,23,18,8,11,5,15,8,8,15
