표층형,*,*,*,품사태그,의미부류,종성 유무,읽기,*,*,*,*,*
架空地線,*,*,*,NNG,*,T,가공지선,*,*,*,*,*
加工倉庫,*,*,*,NNG,*,F,가공창고,*,*,*,*,*
架空鐵道,*,*,*,NNG,*,F,가공철도,*,*,*,*,*
架工齒,*,*,*,NNG,*,F,가공치,*,*,*,*,*
架空cable,*,*,*,NNG,*,T,가공케이블,*,*,*,*,*
加工品,*,*,*,NNG,*,T,가공품,*,*,*,*,*
加工하다,*,*,*,VV,*,F,가공하다,*,*,*,*,*
加工하다,*,*,*,VV,*,F,가공하다,*,*,*,*,*
加功하다,*,*,*,VV,*,F,가공하다,*,*,*,*,*
可恐하다,*,*,*,VA,*,F,가공하다,*,*,*,*,*
架空하다,*,*,*,VV,*,F,가공하다,*,*,*,*,*
架空하다,*,*,*,VV,*,F,가공하다,*,*,*,*,*
加課,*,*,*,NNG,*,F,가과,*,*,*,*,*
假果,*,*,*,NNG,*,F,가과,*,*,*,*,*
佳果,*,*,*,NNG,*,F,가과,*,*,*,*,*
加課하다,*,*,*,VV,*,F,가과하다,*,*,*,*,*
街廓,*,*,*,NNG,*,T,가곽,*,*,*,*,*
笳管,*,*,*,NNG,*,T,가관,*,*,*,*,*
歌管,*,*,*,NNG,*,T,가관,*,*,*,*,*
假官,*,*,*,NNG,*,T,가관,*,*,*,*,*
加冠,*,*,*,NNG,*,T,가관,*,*,*,*,*
可觀,*,*,*,NNG,*,T,가관,*,*,*,*,*
可觀,*,*,*,NNG,*,T,가관,*,*,*,*,*
假官,*,*,*,NNG,*,T,가관,*,*,*,*,*
假觀,*,*,*,NNG,*,T,가관,*,*,*,*,*
假官奴,*,*,*,NNG,*,F,가관노,*,*,*,*,*
假官屬,*,*,*,NNG,*,T,가관속,*,*,*,*,*
可觀스럽다,*,*,*,VA,*,F,가관스럽다,*,*,*,*,*
可觀스럽다,*,*,*,VA,*,F,가관스럽다,*,*,*,*,*
可觀스레,*,*,*,MAG,*,F,가관스레,*,*,*,*,*
可觀스레,*,*,*,MAG,*,F,가관스레,*,*,*,*,*
假關節,*,*,*,NNG,*,T,가관절,*,*,*,*,*
假關節症,*,*,*,NNG,*,T,가관절증,*,*,*,*,*
加冠하다,*,*,*,VV,*,F,가관하다,*,*,*,*,*
加匡,*,*,*,NNG,*,T,가광,*,*,*,*,*
加匡하다,*,*,*,VV,*,F,가광하다,*,*,*,*,*
可怪,*,*,*,NNG,*,F,가괴,*,*,*,*,*
可怪하다,*,*,*,VA,*,F,가괴하다,*,*,*,*,*
駕轎,*,*,*,NNG,*,F,가교,*,*,*,*,*
假橋,*,*,*,NNG,*,F,가교,*,*,*,*,*
可敎,*,*,*,NNG,*,F,가교,*,*,*,*,*
架橋,*,*,*,NNG,*,F,가교,*,*,*,*,*
架橋,*,*,*,NNG,*,F,가교,*,*,*,*,*
家敎,*,*,*,NNG,*,F,가교,*,*,*,*,*
家敎,*,*,*,NNG,*,F,가교,*,*,*,*,*
家嬌,*,*,*,NNG,*,F,가교,*,*,*,*,*
駕轎,*,*,*,NNG,*,F,가교,*,*,*,*,*
架橋結合,*,*,*,NNG,*,T,가교결합,*,*,*,*,*
駕轎馬,*,*,*,NNG,*,F,가교마,*,*,*,*,*
駕轎奉導,*,*,*,NNG,*,F,가교봉도,*,*,*,*,*
假校舍,*,*,*,NNG,*,F,가교사,*,*,*,*,*
假敎室,*,*,*,NNG,*,T,가교실,*,*,*,*,*
架橋掩護,*,*,*,NNG,*,F,가교엄호,*,*,*,*,*
架橋劑,*,*,*,NNG,*,F,가교제,*,*,*,*,*
可敎하다,*,*,*,VA,*,F,가교하다,*,*,*,*,*
架橋하다,*,*,*,VV,*,F,가교하다,*,*,*,*,*
家具,*,*,*,NNG,*,F,가구,*,*,*,*,*
家口,*,*,*,NNG,*,F,가구,*,*,*,*,*
家口,*,*,*,NNG,*,F,가구,*,*,*,*,*
假構,*,*,*,NNG,*,F,가구,*,*,*,*,*
街區,*,*,*,NNG,*,F,가구,*,*,*,*,*
