hanja,hyeonto,cooccur_count,hanja_count,hyeonto_count,pmi
乃,어든,3,3432,817,-1.352
何,와,10,3907,2395,-1.353
禮,이,48,3359,13390,-1.355
無,를,31,9706,2996,-1.357
故,로다,7,6906,952,-1.359
又,오,10,4202,2241,-1.362
知,하시니,4,6165,611,-1.363
然,와,16,6302,2395,-1.365
今,하여는,4,5115,738,-1.366
故,어늘,37,6906,5066,-1.368
使,잇가,5,7315,647,-1.37
乎,와,10,3952,2395,-1.37
四,어늘,17,3183,5066,-1.373
書,하니이다,4,4799,791,-1.374
日,이,53,3756,13390,-1.374
不,와,92,36502,2395,-1.376
四,도,2,3183,599,-1.38
與,어든,6,7002,817,-1.38
州,나,21,3948,5073,-1.381
時,라하니라,3,4223,678,-1.382
者,호되,22,21101,995,-1.382
是,러니,25,7292,3273,-1.382
年,하여,245,6075,38494,-1.382
上,아,17,5497,2954,-1.383
子,니이다,86,17119,4802,-1.384
吾,호대,3,3686,778,-1.384
中,라하니라,4,5639,678,-1.384
文,리라,4,4388,872,-1.385
乃,라가,5,3432,1394,-1.386
官,라하고,4,3125,1225,-1.386
時,할새,4,4223,908,-1.388
世,라하고,5,3916,1225,-1.389
乃,오,8,3432,2241,-1.392
何,하여는,3,3907,738,-1.392
四,하다,41,3183,12378,-1.392
可,와,23,9245,2395,-1.394
故,로되,14,6906,1954,-1.396
又,요,35,4202,8043,-1.399
國,러라,7,5416,1251,-1.402
世,하다,50,3916,12378,-1.404
晉,와,8,3243,2395,-1.407
州,하여는,3,3948,738,-1.407
晉,도,2,3243,599,-1.407
何,로,30,3907,7466,-1.409
必,하노라,3,3926,743,-1.409
民,하다,46,3618,12378,-1.411
四,라하고,4,3183,1225,-1.412
禮,리라,3,3359,872,-1.415
州,하노라,3,3948,743,-1.417
矣,면,51,6060,8230,-1.417
公,하며,41,11407,3517,-1.418
在,한대,11,4310,2501,-1.42
乎,하니,86,3952,21328,-1.42
所,라가,18,12656,1394,-1.42
則,로되,19,9567,1954,-1.426
使,리오,15,7315,2019,-1.427
